Topic;Count;Percentage
Social Bias;2062;16.81755158633064
Security Risks;1949;15.895930185139875
Outliers;1729;14.101623032379088
Context & Memory Limitations;1230;10.031808172253488
Code Generation;377;3.074789984503711
Hallucination;933;7.609493516026425
Reasoning;1333;10.871870157409672
Multimodality;956;7.797080172905963
Conversational Limitations;674;5.497104640730773
Multilinguality;429;3.498898947883533
Healthcare Application;262;2.1368567001060272
Computational Cost;165;1.3457303645705898
Benchmark Contamination;68;0.554604029035152
Quantization;47;0.3833292553625316
Knowledge Editing;47;0.3833292553625316